signal_date,turnover,active_name_count
2022-01-14,0.0,0
2022-01-21,0.0,0
2022-01-28,0.0,0
2022-02-04,0.0,0
2022-02-11,0.0,0
2022-02-18,0.0,0
2022-02-25,0.0,0
2022-03-04,0.0,0
2022-03-11,0.0,0
2022-03-18,0.0,0
2022-03-25,0.0,0
2022-04-01,0.0,0
2022-04-08,1.0,18
2022-04-15,0.7241379310344828,19
2022-04-22,0.7647058823529411,23
2022-04-29,0.0,0
2022-05-06,1.0,6
2022-05-13,0.0,0
2022-05-20,0.0,0
2022-05-27,0.0,0
2022-06-03,1.0,26
2022-06-10,0.0,26
2022-06-17,0.7307692307692307,7
2022-06-24,0.0,0
2022-07-01,0.0,0
2022-07-08,0.0,0
2022-07-15,1.0,19
2022-07-22,1.0,7
2022-07-29,0.0,7
2022-08-05,0.8333333333333334,42
2022-08-12,0.24489795918367346,44
2022-08-19,0.10204081632653061,49
2022-08-26,0.3673469387755102,31
2022-09-02,0.16129032258064516,26
2022-09-09,1.0,8
2022-09-16,0.0,8
2022-09-23,0.0,8
2022-09-30,0.0,0
2022-10-07,1.0,6
2022-10-14,0.45454545454545453,11
2022-10-21,0.45454545454545453,6
2022-10-28,0.0,6
2022-11-04,0.0,6
2022-11-11,0.7272727272727273,22
2022-11-18,0.5416666666666666,48
2022-11-25,0.7708333333333334,11
2022-12-02,0.6944444444444444,36
2022-12-09,0.3023255813953488,37
2022-12-16,0.4864864864864865,19
2022-12-23,0.3448275862068966,29
2022-12-30,0.30952380952380953,42
2023-01-06,0.42857142857142855,24
2023-01-13,0.42857142857142855,42
2023-01-20,0.3,60
2023-01-27,0.1,54
2023-02-03,0.4931506849315068,56
2023-02-10,0.5178571428571429,27
2023-02-17,0.8571428571428571,37
2023-02-24,0.4864864864864865,19
2023-03-03,0.0,0
2023-03-10,1.0,31
2023-03-17,0.0,31
2023-03-24,0.5483870967741935,14
2023-03-31,0.5483870967741935,31
2023-04-07,0.75,24
2023-04-14,0.7916666666666666,5
2023-04-21,0.7058823529411765,17
2023-04-28,0.0,17
2023-05-05,0.0,17
2023-05-12,0.0,17
2023-05-19,0.29411764705882354,12
2023-05-26,0.6956521739130435,18
2023-06-02,0.6111111111111112,7
2023-06-09,0.8409090909090909,44
2023-06-16,0.40350877192982454,47
2023-06-23,0.3157894736842105,49
2023-06-30,0.7222222222222222,20
2023-07-07,0.574468085106383,47
2023-07-14,0.2982456140350877,50
2023-07-21,0.14,43
2023-07-28,0.14,50
2023-08-04,0.5333333333333333,38
2023-08-11,0.5,19
2023-08-18,0.6923076923076923,15
2023-08-25,0.4666666666666667,8
2023-09-01,0.0,8
2023-09-08,0.6521739130434783,23
2023-09-15,0.30434782608695654,16
2023-09-22,0.42857142857142855,28
2023-09-29,0.6046511627906976,32
2023-10-06,0.0,32
2023-10-13,0.4375,18
2023-10-20,0.6153846153846154,18
2023-10-27,0.4444444444444444,10
2023-11-03,0.0,0
2023-11-10,1.0,33
2023-11-17,0.30303030303030304,23
2023-11-24,0.0,23
2023-12-01,0.4642857142857143,20
2023-12-08,0.48717948717948717,39
2023-12-15,0.3076923076923077,27
2023-12-22,0.2894736842105263,38
2023-12-29,0.13157894736842105,33
2024-01-05,0.6585365853658537,22
2024-01-12,0.5757575757575758,25
2024-01-19,0.7878787878787878,15
2024-01-26,0.0,15
2024-02-02,0.0,15
2024-02-09,0.5588235294117647,34
2024-02-16,0.6190476190476191,24
2024-02-23,0.5294117647058824,26
2024-03-01,0.7741935483870968,12
2024-03-08,0.6363636363636364,33
2024-03-15,0.48484848484848486,17
2024-03-22,0.39285714285714285,28
2024-03-29,0.2222222222222222,36
2024-04-05,0.18181818181818182,44
2024-04-12,0.2653061224489796,41
2024-04-19,0.3269230769230769,46
2024-04-26,0.2391304347826087,35
2024-05-03,0.14285714285714285,30
2024-05-10,0.691358024691358,76
2024-05-17,0.06172839506172839,81
2024-05-24,0.09876543209876543,73
2024-05-31,0.4567901234567901,52
2024-06-07,0.0,52
2024-06-14,0.46153846153846156,28
2024-06-21,0.4642857142857143,15
2024-06-28,0.0,15
2024-07-05,1.0,7
2024-07-12,0.75,28
2024-07-19,0.2222222222222222,36
2024-07-26,0.8055555555555556,7
2024-08-02,0.0,0
2024-08-09,0.0,0
2024-08-16,0.0,0
2024-08-23,0.0,0
2024-08-30,1.0,6
2024-09-06,0.5,12
2024-09-13,0.5,6
2024-09-20,0.45454545454545453,11
2024-09-27,0.0,11
2024-10-04,0.8979591836734694,43
2024-10-11,0.12244897959183673,49
2024-10-18,0.3888888888888889,67
