signal_date,portfolio_return,active_name_count
2022-01-14,0.0,0
2022-01-21,0.0,0
2022-01-28,0.0,0
2022-02-04,0.0,0
2022-02-11,0.0,0
2022-02-18,0.0,0
2022-02-25,0.0,0
2022-03-04,0.0,0
2022-03-11,0.0,0
2022-03-18,0.0,0
2022-03-25,0.0,0
2022-04-01,0.0,0
2022-04-08,0.00692229043730063,33
2022-04-15,-0.1418651848419328,29
2022-04-22,0.01594604653408667,40
2022-04-29,0.0,0
2022-05-06,0.014722224421331068,6
2022-05-13,0.0,0
2022-05-20,0.0,0
2022-05-27,0.0,0
2022-06-03,-0.016779160062156045,26
2022-06-10,0.012425595524082593,31
2022-06-17,0.019416340574810707,7
2022-06-24,0.0,0
2022-07-01,0.0,0
2022-07-08,0.0,0
2022-07-15,-0.030981961956675443,19
2022-07-22,0.06294621383974729,7
2022-07-29,-0.05335889902523889,7
2022-08-05,0.049526142349261636,42
2022-08-12,-0.03174316399989981,44
2022-08-19,0.024386738527262135,49
2022-08-26,-0.0603615512735486,31
2022-09-02,0.053790105139175544,26
2022-09-09,-0.08347062082034348,8
2022-09-16,-0.07185997674951154,22
2022-09-23,0.08046917025490999,8
2022-09-30,0.0,0
2022-10-07,-0.00032458470391333316,6
2022-10-14,-0.011140099657227317,11
2022-10-21,-0.0032475329938082367,6
2022-10-28,0.11530484374245145,9
2022-11-04,0.0333985700525672,9
2022-11-11,-0.037902558571444006,25
2022-11-18,-0.002448777414172507,58
2022-11-25,0.0645342155885445,14
2022-12-02,0.0008907300158034462,44
2022-12-09,-0.035878320996063404,47
2022-12-16,0.04897659914354749,26
2022-12-23,0.005672630501205828,39
2022-12-30,0.0673621552368305,49
2023-01-06,0.016060139116573557,24
2023-01-13,0.038183525054341784,54
2023-01-20,-0.004747886489957425,72
2023-01-27,-0.008145033267975497,66
2023-02-03,0.00512471619963395,63
2023-02-10,-0.006322766330267959,39
2023-02-17,-0.008999742026168628,40
2023-02-24,0.00836368866296467,22
2023-03-03,-0.061577643721851504,13
2023-03-10,-0.021331748762072573,52
2023-03-17,0.018182637998972236,38
2023-03-24,0.026198219420347554,21
2023-03-31,-0.001276627514515316,31
2023-04-07,0.05619593549964506,24
2023-04-14,-0.07375885620760403,5
2023-04-21,-0.026452760169231742,20
2023-04-28,0.0318964617371425,17
2023-05-05,-0.04307084480321933,17
2023-05-12,-0.026740835993627126,17
2023-05-19,-0.058769237662685526,19
2023-05-26,0.03272614874105435,21
2023-06-02,-0.005785564052538805,10
2023-06-09,0.01383308391683274,54
2023-06-16,-0.035998275023570725,57
2023-06-23,0.025987993155726308,59
2023-06-30,-0.010105509158594027,30
2023-07-07,0.014527815944919987,50
2023-07-14,-0.02761613060708457,53
2023-07-21,0.035357930384872796,46
2023-07-28,-0.013760518696313385,60
2023-08-04,-0.03323872906172324,50
2023-08-11,-0.02366330925121239,26
2023-08-18,-0.014691149665212544,15
2023-08-25,0.03851257747600767,15
2023-09-01,-0.008351512131417185,15
2023-09-08,0.036891409497398414,30
2023-09-15,-0.009401848113753199,23
2023-09-22,-0.053085076934225074,28
2023-09-29,0.0005306356474721861,32
2023-10-06,-0.008566486738163036,32
2023-10-13,-0.014342940010441655,18
2023-10-20,0.03865009354812539,18
2023-10-27,0.004424064984477338,10
2023-11-03,0.0,0
2023-11-10,0.054450091482471326,33
2023-11-17,-0.025217371853458893,23
2023-11-24,-0.01012625187901583,23
2023-12-01,-0.02848787887442495,20
2023-12-08,0.01079298227932362,46
2023-12-15,0.0709117658186486,34
2023-12-22,0.0033203884934446134,45
2023-12-29,-0.030537390731336298,40
2024-01-05,0.031592922118122514,29
2024-01-12,-0.057790417669028246,32
2024-01-19,0.031022674562674424,20
2024-01-26,-0.028233590797371554,15
2024-02-02,0.018827524243536575,20
2024-02-09,-0.026646123810722292,39
2024-02-16,0.022500359324617993,24
2024-02-23,0.02247090912992328,26
2024-03-01,0.033643696181088305,12
2024-03-08,0.0405380490802065,33
2024-03-15,-0.006942471221342311,17
2024-03-22,0.04408137412505857,28
2024-03-29,0.12221414381923607,36
2024-04-05,0.010795094422392655,44
2024-04-12,-0.031116496201813615,44
2024-04-19,0.042446425667019574,56
2024-04-26,0.010575471690475662,38
2024-05-03,0.049071847926272796,47
2024-05-10,0.04830272287413141,90
2024-05-17,-0.02845283267046158,95
2024-05-24,-0.030612082506036822,87
2024-05-31,-0.03901514928427623,71
2024-06-07,-0.02399405168676792,71
2024-06-14,-0.005181729463517044,48
2024-06-21,0.019459218699252327,21
2024-06-28,0.018165315855985773,15
2024-07-05,0.031542787861863694,7
