dataset_id,asset,company,market,metric,source_route,direct_history_available,current_snapshot_available,observation_count,observation_start_date,observation_end_date,positive_value_count,non_positive_value_count,missing_value_count,coverage_status,point_in_time_status,next_action,source_quality,source_url,retrieved_at
airline_valuation_source_matrix,0293.HK,Cathay Pacific,HK,pe_ttm,akshare_baidu_dated_history,True,True,618,2001-04-06,2026-08-08,488,130,0,dated_history,vendor_dated_ratio_denominator_semantics_unverified,Validate provider denominator semantics and join to announcement-aligned financials,akshare_baidu_valuation_history,"akshare.stock_hk_valuation_baidu(symbol=00293, indicator=市盈率(TTM), period=全部)",2026-08-08T20:00:18.958720+00:00
airline_valuation_source_matrix,0293.HK,Cathay Pacific,HK,pe_static,akshare_baidu_dated_history,True,True,618,2001-04-06,2026-08-08,473,145,0,dated_history,vendor_dated_ratio_denominator_semantics_unverified,Validate provider denominator semantics and join to announcement-aligned financials,akshare_baidu_valuation_history,"akshare.stock_hk_valuation_baidu(symbol=00293, indicator=市盈率(静), period=全部)",2026-08-08T20:00:18.958720+00:00
airline_valuation_source_matrix,0293.HK,Cathay Pacific,HK,pb,akshare_baidu_dated_history,True,True,618,2001-04-06,2026-08-08,618,0,0,dated_history,vendor_dated_ratio_denominator_semantics_unverified,Validate provider denominator semantics and join to announcement-aligned financials,akshare_baidu_valuation_history,"akshare.stock_hk_valuation_baidu(symbol=00293, indicator=市净率, period=全部)",2026-08-08T20:00:18.958720+00:00
airline_valuation_source_matrix,0293.HK,Cathay Pacific,HK,market_cap,akshare_baidu_dated_history,True,False,618,2001-04-06,2026-08-08,618,0,0,dated_history,vendor_dated_market_cap_history,Validate provider denominator semantics and join to announcement-aligned financials,akshare_baidu_valuation_history,"akshare.stock_hk_valuation_baidu(symbol=00293, indicator=总市值, period=全部)",2026-08-08T20:00:18.958720+00:00
airline_valuation_source_matrix,0293.HK,Cathay Pacific,HK,ps_ttm,eastmoney_current_then_free_reconstruction,False,True,0,,,0,0,0,current_only,current_snapshot_only_until_reconstructed,Use current Eastmoney PS; construct dated PS from free market_cap_and_announcement_aligned_revenue,free_eastmoney_current_only,akshare.stock_hk_valuation_comparison_em(symbol=00293),2026-08-08T20:00:18.958720+00:00
airline_valuation_source_matrix,01055.HK,China Southern Airlines,HK,pe_ttm,akshare_baidu_dated_history,True,True,608,2001-09-03,2026-08-08,369,239,0,dated_history,vendor_dated_ratio_denominator_semantics_unverified,Validate provider denominator semantics and join to announcement-aligned financials,akshare_baidu_valuation_history,"akshare.stock_hk_valuation_baidu(symbol=01055, indicator=市盈率(TTM), period=全部)",2026-08-08T20:00:18.958720+00:00
airline_valuation_source_matrix,01055.HK,China Southern Airlines,HK,pe_static,akshare_baidu_dated_history,True,True,634,2002-05-04,2026-08-08,402,232,0,dated_history,vendor_dated_ratio_denominator_semantics_unverified,Validate provider denominator semantics and join to announcement-aligned financials,akshare_baidu_valuation_history,"akshare.stock_hk_valuation_baidu(symbol=01055, indicator=市盈率(静), period=全部)",2026-08-08T20:00:18.958720+00:00
airline_valuation_source_matrix,01055.HK,China Southern Airlines,HK,pb,akshare_baidu_dated_history,True,True,608,2001-09-03,2026-08-08,608,0,0,dated_history,vendor_dated_ratio_denominator_semantics_unverified,Validate provider denominator semantics and join to announcement-aligned financials,akshare_baidu_valuation_history,"akshare.stock_hk_valuation_baidu(symbol=01055, indicator=市净率, period=全部)",2026-08-08T20:00:18.958720+00:00
airline_valuation_source_matrix,01055.HK,China Southern Airlines,HK,market_cap,akshare_baidu_dated_history,True,False,608,2001-09-03,2026-08-08,608,0,0,dated_history,vendor_dated_market_cap_history,Validate provider denominator semantics and join to announcement-aligned financials,akshare_baidu_valuation_history,"akshare.stock_hk_valuation_baidu(symbol=01055, indicator=总市值, period=全部)",2026-08-08T20:00:18.958720+00:00
airline_valuation_source_matrix,01055.HK,China Southern Airlines,HK,ps_ttm,eastmoney_current_then_free_reconstruction,False,True,0,,,0,0,0,current_only,current_snapshot_only_until_reconstructed,Use current Eastmoney PS; construct dated PS from free market_cap_and_announcement_aligned_revenue,free_eastmoney_current_only,akshare.stock_hk_valuation_comparison_em(symbol=01055),2026-08-08T20:00:18.958720+00:00
