dataset_id,as_of_date,company,operating_entity,parent_group,ticker,event_month,route_text,route_scope,screening_bucket,airline_frequency_text,airline_source_url,airline_source_quality,rail_time_minutes,rail_frequency_per_day,rail_fare_rmb,airport_station_access_score,hsr_substitution_score,hsr_score_status,next_enrichment,source_note,retrieved_at
airline_hsr_route_candidates,2026-08-07,Spring Airlines,Spring Airlines,Spring Airlines,601021.SH,2025-10,上海虹桥=大理,domestic,hsr_enrichment_candidate,周246,https://static.cninfo.com.cn/finalpage/2025-11-15/1224805354.PDF,issuer_cninfo_operating_release,,,,,,not_scored,12306 route query plus centre-to-centre access and fare capture,Official monthly operating bulletin names a new domestic route; route-level HSR data not yet joined,2026-08-07
airline_hsr_route_candidates,2026-08-07,Spring Airlines,Spring Airlines,Spring Airlines,601021.SH,2025-10,上海虹桥=兰州=阿勒泰,domestic,hsr_enrichment_candidate,天天班,https://static.cninfo.com.cn/finalpage/2025-11-15/1224805354.PDF,issuer_cninfo_operating_release,,,,,,not_scored,12306 route query plus centre-to-centre access and fare capture,Multi-leg route should be split into Shanghai-Lanzhou and Lanzhou-Altay before scoring,2026-08-07
airline_hsr_route_candidates,2026-08-07,Spring Airlines,Spring Airlines,Spring Airlines,601021.SH,2025-10,大连=烟台,domestic,hsr_enrichment_candidate,周246,https://static.cninfo.com.cn/finalpage/2025-11-15/1224805354.PDF,issuer_cninfo_operating_release,,,,,,not_scored,12306 route query plus centre-to-centre access and fare capture,Short regional city pair is a natural HSR overlap screen but no score is assigned yet,2026-08-07
airline_hsr_route_candidates,2026-08-07,Spring Airlines,Spring Airlines,Spring Airlines,601021.SH,2026-06,深圳=雅加达,international,non_hsr_control,周36,https://static.cninfo.com.cn/finalpage/2026-07-16/1225425623.PDF,issuer_cninfo_operating_release,,,,,,not_applicable,Use as international demand control rather than HSR exposure,International route is not a mainland HSR substitute and should remain in the control bucket,2026-08-07
airline_hsr_route_candidates,2026-08-07,Spring Airlines,Spring Airlines,Spring Airlines,601021.SH,2026-06,广州=雅加达,international,non_hsr_control,周257,https://static.cninfo.com.cn/finalpage/2026-07-16/1225425623.PDF,issuer_cninfo_operating_release,,,,,,not_applicable,Use as international demand control rather than HSR exposure,International route is not a mainland HSR substitute and should remain in the control bucket,2026-08-07
airline_hsr_route_candidates,2026-08-07,Juneyao Airlines,9 Air,Juneyao Airlines,603885.SH,2025-10,广州—池州—沈阳,domestic,hsr_enrichment_candidate,每周3班,https://static.cninfo.com.cn/finalpage/2025-11-15/1224805625.PDF,issuer_cninfo_operating_release,,,,,,not_scored,Split into Guangzhou-Chizhou and Chizhou-Shenyang before 12306 query,Official monthly operating bulletin names a multi-leg domestic route; do not score the full string as one city pair,2026-08-07
airline_hsr_route_candidates,2026-08-07,Juneyao Airlines,9 Air,Juneyao Airlines,603885.SH,2025-10,贵阳—常州,domestic,hsr_enrichment_candidate,每周4班,https://static.cninfo.com.cn/finalpage/2025-11-15/1224805625.PDF,issuer_cninfo_operating_release,,,,,,not_scored,12306 route query plus centre-to-centre access and fare capture,Domestic route candidate for HSR overlap and fare-pressure analysis,2026-08-07
airline_hsr_route_candidates,2026-08-07,Juneyao Airlines,9 Air,Juneyao Airlines,603885.SH,2025-10,武汉—长春,domestic,hsr_enrichment_candidate,每周4班,https://static.cninfo.com.cn/finalpage/2025-11-15/1224805625.PDF,issuer_cninfo_operating_release,,,,,,not_scored,12306 route query plus centre-to-centre access and fare capture,Longer domestic route candidate; rail time may be less competitive but must be measured,2026-08-07
airline_hsr_route_candidates,2026-08-07,Juneyao Airlines,9 Air,Juneyao Airlines,603885.SH,2026-06,合肥—海拉尔,domestic,hsr_enrichment_candidate,每周4班,https://static.cninfo.com.cn/finalpage/2026-07-16/1225425794.PDF,issuer_cninfo_operating_release,,,,,,not_scored,12306 route query plus centre-to-centre access and fare capture,Recent official route event; likely a weak rail substitute but retain as measured rather than assumed,2026-08-07
airline_hsr_route_candidates,2026-08-07,China Eastern Airlines,China Eastern Airlines,China Eastern Airlines,0670.HK / 600115.SH,2025-09,上海虹桥—广州,domestic,hsr_enrichment_candidate,frequency increase,https://static.cninfo.com.cn/finalpage/2025-10-16/1224713276.PDF,issuer_cninfo_operating_release,,,,,,not_scored,12306 route query plus centre-to-centre access and fare capture,Important trunk route candidate for direct HSR fare and share pressure,2026-08-07
