dataset_id,company,ticker,market,security_code,snapshot_date,eligibility_effective_date,eligibility_status,eligibility_scope,evidence_type,borrow_data_available,source_quality,source_url,source_note,retrieved_at
airline_short_eligibility,Air China,601111.SH,CN_A,601111,2026-08-07,2026-08-06,margin_security_observed,SSE public margin-detail security presence,sse_margin_detail_security_presence,False,sse_public_margin_detail_via_akshare,https://www.sse.com.cn/market/othersdata/margin/detail/,"SSE margin-detail presence is public eligibility/observation evidence only. It does not establish locatable shares, borrow fee, recall risk, broker availability or execution guarantee.",2026-08-07T13:42:41.814913+00:00
airline_short_eligibility,China Eastern Airlines,600115.SH,CN_A,600115,2026-08-07,2026-08-06,margin_security_observed,SSE public margin-detail security presence,sse_margin_detail_security_presence,False,sse_public_margin_detail_via_akshare,https://www.sse.com.cn/market/othersdata/margin/detail/,"SSE margin-detail presence is public eligibility/observation evidence only. It does not establish locatable shares, borrow fee, recall risk, broker availability or execution guarantee.",2026-08-07T13:42:41.814913+00:00
airline_short_eligibility,China Southern Airlines,600029.SH,CN_A,600029,2026-08-07,2026-08-06,margin_security_observed,SSE public margin-detail security presence,sse_margin_detail_security_presence,False,sse_public_margin_detail_via_akshare,https://www.sse.com.cn/market/othersdata/margin/detail/,"SSE margin-detail presence is public eligibility/observation evidence only. It does not establish locatable shares, borrow fee, recall risk, broker availability or execution guarantee.",2026-08-07T13:42:41.814913+00:00
airline_short_eligibility,Hainan Airlines Holdings,600221.SH,CN_A,600221,2026-08-07,2026-08-06,margin_security_observed,SSE public margin-detail security presence,sse_margin_detail_security_presence,False,sse_public_margin_detail_via_akshare,https://www.sse.com.cn/market/othersdata/margin/detail/,"SSE margin-detail presence is public eligibility/observation evidence only. It does not establish locatable shares, borrow fee, recall risk, broker availability or execution guarantee.",2026-08-07T13:42:41.814913+00:00
airline_short_eligibility,Juneyao Airlines,603885.SH,CN_A,603885,2026-08-07,2026-08-06,margin_security_observed,SSE public margin-detail security presence,sse_margin_detail_security_presence,False,sse_public_margin_detail_via_akshare,https://www.sse.com.cn/market/othersdata/margin/detail/,"SSE margin-detail presence is public eligibility/observation evidence only. It does not establish locatable shares, borrow fee, recall risk, broker availability or execution guarantee.",2026-08-07T13:42:41.814913+00:00
airline_short_eligibility,Spring Airlines,601021.SH,CN_A,601021,2026-08-07,2026-08-06,margin_security_observed,SSE public margin-detail security presence,sse_margin_detail_security_presence,False,sse_public_margin_detail_via_akshare,https://www.sse.com.cn/market/othersdata/margin/detail/,"SSE margin-detail presence is public eligibility/observation evidence only. It does not establish locatable shares, borrow fee, recall risk, broker availability or execution guarantee.",2026-08-07T13:42:41.814913+00:00
airline_short_eligibility,Air China,0753.HK,HK,753,2026-08-07,2026-08-05,designated_security_eligible,HKEX designated securities eligible for short selling,hkex_designated_short_selling_list,False,hkex_official_designated_short_list,https://www.hkex.com.hk/eng/market/sec_tradinfo/ds20260805.htm,"HKEX designated-security evidence only. It does not establish locatable shares, borrow fee, recall risk, broker availability or execution guarantee.",2026-08-07T13:42:41.814913+00:00
airline_short_eligibility,Cathay Pacific,0293.HK,HK,293,2026-08-07,2026-08-05,designated_security_eligible,HKEX designated securities eligible for short selling,hkex_designated_short_selling_list,False,hkex_official_designated_short_list,https://www.hkex.com.hk/eng/market/sec_tradinfo/ds20260805.htm,"HKEX designated-security evidence only. It does not establish locatable shares, borrow fee, recall risk, broker availability or execution guarantee.",2026-08-07T13:42:41.814913+00:00
airline_short_eligibility,China Eastern Airlines,0670.HK,HK,670,2026-08-07,2026-08-05,designated_security_eligible,HKEX designated securities eligible for short selling,hkex_designated_short_selling_list,False,hkex_official_designated_short_list,https://www.hkex.com.hk/eng/market/sec_tradinfo/ds20260805.htm,"HKEX designated-security evidence only. It does not establish locatable shares, borrow fee, recall risk, broker availability or execution guarantee.",2026-08-07T13:42:41.814913+00:00
airline_short_eligibility,China Southern Airlines,01055.HK,HK,1055,2026-08-07,2026-08-05,designated_security_eligible,HKEX designated securities eligible for short selling,hkex_designated_short_selling_list,False,hkex_official_designated_short_list,https://www.hkex.com.hk/eng/market/sec_tradinfo/ds20260805.htm,"HKEX designated-security evidence only. It does not establish locatable shares, borrow fee, recall risk, broker availability or execution guarantee.",2026-08-07T13:42:41.814913+00:00
