dataset_id,report_id,ticker,company,report_type,statement_period,period_end,announcement_date,information_date,hedge_scope,disclosure_type,hedge_status,hedge_instrument,notional_native,notional_unit,fair_value_change_native,fair_value_end_native,native_currency,source_quality,source_url,source_page,source_note,raw_snapshot_path,scan_scope,parse_status,retrieved_at
airline_hedging_disclosures,601111_2025_fy,0753.HK / 601111.SH,Air China,annual,FY2025,2025-12-31,2026-03-27,2026-03-27,fuel,scan_result,no_explicit_fuel_hedge_anchor_found_in_scan,,,,,,,primary_issuer_scan_audit,https://static.cninfo.com.cn/finalpage/2026-03-27/1225039287.PDF,,"Targeted scan of the cached primary issuer report found no safe fuel-specific numeric hedge anchor or explicit no-futures statement. This is a coverage result, not a claim that the issuer had no hedge.",/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/airline_reports/601111/601111_2025_fy.PDF,"Full cached issuer PDF text scan for fuel-specific terms: 燃油套期, 航油套期, 燃油期货, 航油期货, 燃油价格风险, 航油价格风险; explicit anchors retained separately from scan-result rows.",scanned_no_anchor,2026-08-07T06:27:02.275779+00:00
airline_hedging_disclosures,601111_2025_h1,0753.HK / 601111.SH,Air China,interim,1H2025,2025-06-30,2025-08-29,2025-08-29,fuel,scan_result,no_explicit_fuel_hedge_anchor_found_in_scan,,,,,,,primary_issuer_scan_audit,https://static.cninfo.com.cn/finalpage/2025-08-29/1224611848.PDF,,"Targeted scan of the cached primary issuer report found no safe fuel-specific numeric hedge anchor or explicit no-futures statement. This is a coverage result, not a claim that the issuer had no hedge.",/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/airline_reports/601111/601111_2025_h1.PDF,"Full cached issuer PDF text scan for fuel-specific terms: 燃油套期, 航油套期, 燃油期货, 航油期货, 燃油价格风险, 航油价格风险; explicit anchors retained separately from scan-result rows.",scanned_no_anchor,2026-08-07T06:27:02.275779+00:00
airline_hedging_disclosures,600029_2025_fy,01055.HK / 600029.SH,China Southern Airlines,annual,FY2025,2025-12-31,2026-03-31,2026-03-31,fuel,explicit_no_fuel_futures,no_fuel_futures_in_period,fuel futures,,,,,,primary_issuer,https://static.cninfo.com.cn/finalpage/2026-03-31/1225063223.PDF,227.0,Primary issuer derivative-risk disclosure explicitly states no fuel futures contract in the relevant period; this is not evidence that all possible fuel-hedging instruments were absent.,/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/airline_reports/600029/600029_2025_fy.PDF,"Full cached issuer PDF text scan for fuel-specific terms: 燃油套期, 航油套期, 燃油期货, 航油期货, 燃油价格风险, 航油价格风险; explicit anchors retained separately from scan-result rows.",verified_anchor,2026-08-07T06:27:02.275779+00:00
airline_hedging_disclosures,600029_2025_h1,01055.HK / 600029.SH,China Southern Airlines,interim,1H2025,2025-06-30,2025-08-29,2025-08-29,fuel,explicit_no_fuel_futures,no_fuel_futures_in_period,fuel futures,,,,,,primary_issuer,https://static.cninfo.com.cn/finalpage/2025-08-29/1224612089.PDF,193.0,Primary issuer derivative-risk disclosure explicitly states no fuel futures contract in the relevant period; this is not evidence that all possible fuel-hedging instruments were absent.,/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/airline_reports/600029/600029_2025_h1.PDF,"Full cached issuer PDF text scan for fuel-specific terms: 燃油套期, 航油套期, 燃油期货, 航油期货, 燃油价格风险, 航油价格风险; explicit anchors retained separately from scan-result rows.",verified_anchor,2026-08-07T06:27:02.275779+00:00
airline_hedging_disclosures,600115_2025_fy,0670.HK / 600115.SH,China Eastern Airlines,annual,FY2025,2025-12-31,2026-03-31,2026-03-31,fuel,fair_value,active_disclosed,fuel hedge contract,,,3.75,3.75,RMB,primary_issuer,https://static.cninfo.com.cn/finalpage/2026-03-31/1225064857.PDF,36.0,"Primary issuer fair-value table: fuel-hedge current-period fair-value change and ending fair value are both RMB3.75m. This is fair value, not hedge notional or total realized fuel-hedge P&L.",/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/airline_reports/600115/600115_2025_fy.PDF,"Full cached issuer PDF text scan for fuel-specific terms: 燃油套期, 航油套期, 燃油期货, 航油期货, 燃油价格风险, 航油价格风险; explicit anchors retained separately from scan-result rows.",verified_anchor,2026-08-07T06:27:02.275779+00:00
airline_hedging_disclosures,600115_2025_fy,0670.HK / 600115.SH,China Eastern Airlines,annual,FY2025,2025-12-31,2026-03-31,2026-03-31,fuel,position,active_unsettled_position,fuel hedge transaction,500000.0,barrels,,,,primary_issuer,https://static.cninfo.com.cn/finalpage/2026-03-31/1225064857.PDF,41.0,"Primary issuer risk disclosure: at 2025-12-31, outstanding fuel-hedge position was 500,000 barrels, due in 2026. Notional is not converted to RMB and is not a forecast of fuel consumption.",/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/airline_reports/600115/600115_2025_fy.PDF,"Full cached issuer PDF text scan for fuel-specific terms: 燃油套期, 航油套期, 燃油期货, 航油期货, 燃油价格风险, 航油价格风险; explicit anchors retained separately from scan-result rows.",verified_anchor,2026-08-07T06:27:02.275779+00:00
airline_hedging_disclosures,600115_2025_h1,0670.HK / 600115.SH,China Eastern Airlines,interim,1H2025,2025-06-30,2025-08-30,2025-08-30,fuel,policy_statement,policy_or_activity_not_quantified,fuel hedge,,,,,,primary_issuer,https://static.cninfo.com.cn/finalpage/2025-08-30/1224626126.PDF,42.0,Primary issuer risk disclosure says the company cautiously conducts fuel-hedging business under board authorization; no period-end notional or fair-value amount is disclosed in the covered section.,/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/airline_reports/600115/600115_2025_h1.PDF,"Full cached issuer PDF text scan for fuel-specific terms: 燃油套期, 航油套期, 燃油期货, 航油期货, 燃油价格风险, 航油价格风险; explicit anchors retained separately from scan-result rows.",verified_anchor,2026-08-07T06:27:02.275779+00:00
airline_hedging_disclosures,601021_2025_fy,601021.SH,Spring Airlines,annual,FY2025,2025-12-31,2026-04-11,2026-04-11,fuel,scan_result,no_explicit_fuel_hedge_anchor_found_in_scan,,,,,,,primary_issuer_scan_audit,https://static.cninfo.com.cn/finalpage/2026-04-11/1225093115.PDF,,"Targeted scan of the cached primary issuer report found no safe fuel-specific numeric hedge anchor or explicit no-futures statement. This is a coverage result, not a claim that the issuer had no hedge.",/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/airline_reports/601021/601021_2025_fy.PDF,"Full cached issuer PDF text scan for fuel-specific terms: 燃油套期, 航油套期, 燃油期货, 航油期货, 燃油价格风险, 航油价格风险; explicit anchors retained separately from scan-result rows.",scanned_no_anchor,2026-08-07T06:27:02.275779+00:00
airline_hedging_disclosures,601021_2025_h1,601021.SH,Spring Airlines,interim,1H2025,2025-06-30,2025-08-29,2025-08-29,fuel,scan_result,no_explicit_fuel_hedge_anchor_found_in_scan,,,,,,,primary_issuer_scan_audit,https://static.cninfo.com.cn/finalpage/2025-08-29/1224612122.PDF,,"Targeted scan of the cached primary issuer report found no safe fuel-specific numeric hedge anchor or explicit no-futures statement. This is a coverage result, not a claim that the issuer had no hedge.",/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/airline_reports/601021/601021_2025_h1.PDF,"Full cached issuer PDF text scan for fuel-specific terms: 燃油套期, 航油套期, 燃油期货, 航油期货, 燃油价格风险, 航油价格风险; explicit anchors retained separately from scan-result rows.",scanned_no_anchor,2026-08-07T06:27:02.275779+00:00
airline_hedging_disclosures,600221_2025_fy,600221.SH,Hainan Airlines Holdings,annual,FY2025,2025-12-31,2026-04-18,2026-04-18,fuel,scan_result,no_explicit_fuel_hedge_anchor_found_in_scan,,,,,,,primary_issuer_scan_audit,https://static.cninfo.com.cn/finalpage/2026-04-18/1225119605.PDF,,"Targeted scan of the cached primary issuer report found no safe fuel-specific numeric hedge anchor or explicit no-futures statement. This is a coverage result, not a claim that the issuer had no hedge.",/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/airline_reports/600221/600221_2025_fy.PDF,"Full cached issuer PDF text scan for fuel-specific terms: 燃油套期, 航油套期, 燃油期货, 航油期货, 燃油价格风险, 航油价格风险; explicit anchors retained separately from scan-result rows.",scanned_no_anchor,2026-08-07T06:27:02.275779+00:00
