dataset_id,ticker,company,market,source_ticker,snapshot_date,metric,period,forecast_year,metric_unit,native_currency,value_avg_native,value_low_native,value_high_native,year_ago_value_native,analyst_count,growth_pct,up_last_7_days,up_last_30_days,down_last_30_days,down_last_7_days,strong_buy,buy,hold,sell,strong_sell,rating_total,buy_add_pct,stock_trend,index_trend,source_quality,revision_signal_available,revision_history_available,source_url,source_note,retrieved_at
airline_yahoo_analyst_snapshot,01055.HK,China Southern Airlines,HK,1055.HK,2026-08-07,eps_estimate,+1y,2027.0,native_currency_per_share,RMB,0.14292,0.0899,0.18885,-0.22135,3.0,1.6457001,,,,,,,,,,,,,,yfinance_discovery,False,False,https://finance.yahoo.com/quote/1055.HK/analysis/,"Yahoo Finance/yfinance current analyst snapshot. Estimate averages, ranges, recommendation counts and short-horizon EPS revision counts are retained, but this provider does not expose a complete broker-vintage history or exact institutional update timestamps.",2026-08-07T15:07:52.151525+00:00
airline_yahoo_analyst_snapshot,01055.HK,China Southern Airlines,HK,1055.HK,2026-08-07,eps_estimate,0y,2026.0,native_currency_per_share,RMB,-0.22135,-0.26,-0.16943,0.05,3.0,-5.427,,,,,,,,,,,,,,yfinance_discovery,False,False,https://finance.yahoo.com/quote/1055.HK/analysis/,"Yahoo Finance/yfinance current analyst snapshot. Estimate averages, ranges, recommendation counts and short-horizon EPS revision counts are retained, but this provider does not expose a complete broker-vintage history or exact institutional update timestamps.",2026-08-07T15:07:52.151525+00:00
airline_yahoo_analyst_snapshot,01055.HK,China Southern Airlines,HK,1055.HK,2026-08-07,eps_revision_signal,+1y,2027.0,analyst_count,RMB,,,,,,,0.0,0.0,2.0,1.0,,,,,,,,,,yfinance_discovery,True,False,https://finance.yahoo.com/quote/1055.HK/analysis/,"Yahoo Finance/yfinance current analyst snapshot. Estimate averages, ranges, recommendation counts and short-horizon EPS revision counts are retained, but this provider does not expose a complete broker-vintage history or exact institutional update timestamps.",2026-08-07T15:07:52.151525+00:00
airline_yahoo_analyst_snapshot,01055.HK,China Southern Airlines,HK,1055.HK,2026-08-07,eps_revision_signal,0y,2026.0,analyst_count,RMB,,,,,,,1.0,2.0,0.0,0.0,,,,,,,,,,yfinance_discovery,True,False,https://finance.yahoo.com/quote/1055.HK/analysis/,"Yahoo Finance/yfinance current analyst snapshot. Estimate averages, ranges, recommendation counts and short-horizon EPS revision counts are retained, but this provider does not expose a complete broker-vintage history or exact institutional update timestamps.",2026-08-07T15:07:52.151525+00:00
airline_yahoo_analyst_snapshot,01055.HK,China Southern Airlines,HK,1055.HK,2026-08-07,growth_estimate,+1q,,percent,RMB,,,,,,,,,,,,,,,,,,,22.780001,yfinance_discovery,False,False,https://finance.yahoo.com/quote/1055.HK/analysis/,"Yahoo Finance/yfinance current analyst snapshot. Estimate averages, ranges, recommendation counts and short-horizon EPS revision counts are retained, but this provider does not expose a complete broker-vintage history or exact institutional update timestamps.",2026-08-07T15:07:52.151525+00:00
airline_yahoo_analyst_snapshot,01055.HK,China Southern Airlines,HK,1055.HK,2026-08-07,growth_estimate,+1y,2027.0,percent,RMB,,,,,,,,,,,,,,,,,,164.57001,13.96,yfinance_discovery,False,False,https://finance.yahoo.com/quote/1055.HK/analysis/,"Yahoo Finance/yfinance current analyst snapshot. Estimate averages, ranges, recommendation counts and short-horizon EPS revision counts are retained, but this provider does not expose a complete broker-vintage history or exact institutional update timestamps.",2026-08-07T15:07:52.151525+00:00
airline_yahoo_analyst_snapshot,01055.HK,China Southern Airlines,HK,1055.HK,2026-08-07,growth_estimate,0q,,percent,RMB,,,,,,,,,,,,,,,,,,,45.330003000000005,yfinance_discovery,False,False,https://finance.yahoo.com/quote/1055.HK/analysis/,"Yahoo Finance/yfinance current analyst snapshot. Estimate averages, ranges, recommendation counts and short-horizon EPS revision counts are retained, but this provider does not expose a complete broker-vintage history or exact institutional update timestamps.",2026-08-07T15:07:52.151525+00:00
airline_yahoo_analyst_snapshot,01055.HK,China Southern Airlines,HK,1055.HK,2026-08-07,growth_estimate,0y,2026.0,percent,RMB,,,,,,,,,,,,,,,,,,-542.6999999999999,29.81,yfinance_discovery,False,False,https://finance.yahoo.com/quote/1055.HK/analysis/,"Yahoo Finance/yfinance current analyst snapshot. Estimate averages, ranges, recommendation counts and short-horizon EPS revision counts are retained, but this provider does not expose a complete broker-vintage history or exact institutional update timestamps.",2026-08-07T15:07:52.151525+00:00
airline_yahoo_analyst_snapshot,01055.HK,China Southern Airlines,HK,1055.HK,2026-08-07,growth_estimate,LTG,,percent,RMB,,,,,,,,,,,,,,,,,,,12.2,yfinance_discovery,False,False,https://finance.yahoo.com/quote/1055.HK/analysis/,"Yahoo Finance/yfinance current analyst snapshot. Estimate averages, ranges, recommendation counts and short-horizon EPS revision counts are retained, but this provider does not expose a complete broker-vintage history or exact institutional update timestamps.",2026-08-07T15:07:52.151525+00:00
airline_yahoo_analyst_snapshot,01055.HK,China Southern Airlines,HK,1055.HK,2026-08-07,recommendation_trend,-1m,,analyst_count,RMB,,,,,,,,,,,1.0,3.0,5.0,0.0,1.0,10.0,40.0,,,yfinance_discovery,False,False,https://finance.yahoo.com/quote/1055.HK/analysis/,"Yahoo Finance/yfinance current analyst snapshot. Estimate averages, ranges, recommendation counts and short-horizon EPS revision counts are retained, but this provider does not expose a complete broker-vintage history or exact institutional update timestamps.",2026-08-07T15:07:52.151525+00:00
airline_yahoo_analyst_snapshot,01055.HK,China Southern Airlines,HK,1055.HK,2026-08-07,recommendation_trend,-2m,,analyst_count,RMB,,,,,,,,,,,1.0,3.0,5.0,0.0,1.0,10.0,40.0,,,yfinance_discovery,False,False,https://finance.yahoo.com/quote/1055.HK/analysis/,"Yahoo Finance/yfinance current analyst snapshot. Estimate averages, ranges, recommendation counts and short-horizon EPS revision counts are retained, but this provider does not expose a complete broker-vintage history or exact institutional update timestamps.",2026-08-07T15:07:52.151525+00:00
airline_yahoo_analyst_snapshot,01055.HK,China Southern Airlines,HK,1055.HK,2026-08-07,recommendation_trend,-3m,,analyst_count,RMB,,,,,,,,,,,1.0,3.0,3.0,2.0,1.0,10.0,40.0,,,yfinance_discovery,False,False,https://finance.yahoo.com/quote/1055.HK/analysis/,"Yahoo Finance/yfinance current analyst snapshot. Estimate averages, ranges, recommendation counts and short-horizon EPS revision counts are retained, but this provider does not expose a complete broker-vintage history or exact institutional update timestamps.",2026-08-07T15:07:52.151525+00:00
