dataset_id,company,ticker,horizon,model_name,h1_2025_operating_profit_native_mn,h1_2025_finance_cost_native_mn,h1_2025_profit_before_tax_native_mn,h1_2025_income_tax_native_mn,h1_2025_effective_tax_rate_pct,h1_2025_net_income_total_native_mn,h1_2025_minority_interest_native_mn,h1_2025_attributable_net_income_native_mn,h1_2025_nci_share_pct,h1_2025_revenue_source,h1_2025_anchor_source,forecast_h1_2026_operating_profit_native_mn,forecast_h1_2026_revenue_native_mn,h1_2025_revenue_native_mn,revenue_scale_factor,forward_finance_cost_native_mn,forward_other_income_native_mn,forward_investment_income_native_mn,forward_non_operating_income_native_mn,forward_non_operating_expense_native_mn,forward_profit_before_tax_native_mn,forward_income_tax_native_mn,forward_income_tax_method,forward_net_income_total_native_mn,forward_minority_interest_native_mn,forward_minority_interest_method,forward_attributable_net_income_native_mn,forward_attributable_net_income_usd_mn,implied_basic_shares_mn,forward_basic_eps_rmb_per_share,forward_fx_usd_cny,bridge_status,source_note,retrieved_at
airline_forward_net_income_bridge,Air China,601111.SH,1H2026,flat_ask,-2047.902,2507.203,-2789.041,1928.119,-120.75596837741676,-3524.826,-1754.433,-1805.673,49.7736058460758,official_interim_total_revenue,annual_waterfall_fallback,-6752.011349194683,82167.10307278617,80757.43400000001,1.0174555951441715,1201.3297524339214,2127.668564561576,1642.328970656102,263.2532486354726,50.771540893369554,-3970.8618586688235,908.0109882644887,h1_2025_annual_absolute_carry_scaled_to_interim,-4878.872846933312,-826.2168684473478,h1_2025_annual_nci_carry_scaled_to_interim,-4052.655978485964,-600.6036450808363,16094.48181818182,-0.2518040670254887,6.747638,available_annual_waterfall_interim_pbt_calibrated,"Forward H1-2026 net-income bridge with annual-waterfall fallback: the formal interim income statement is an image/CID-font page in this issuer's report, so the below-operating structure (finance cost, tax, NCI) is taken from the FY2025 annual waterfall and the level is calibrated with the disclosed interim profit-before-tax / attributable anchors where available.  Operating leg from the walk-forward H1-2026 model variant.  Research bridge, not issuer guidance or a trade approval.",2026-08-10T12:04:49.671839+00:00
airline_forward_net_income_bridge,Air China,601111.SH,1H2026,flat_rpk,-2047.902,2507.203,-2789.041,1928.119,-120.75596837741676,-3524.826,-1754.433,-1805.673,49.7736058460758,official_interim_total_revenue,annual_waterfall_fallback,-2655.57625183028,86263.53817015057,80757.43400000001,1.0681807716940408,1261.2219620572678,2127.668564561576,1642.328970656102,263.2532486354726,50.771540893369554,65.68102907223351,908.0109882644887,h1_2025_annual_absolute_carry_scaled_to_interim,-842.3299591922552,-826.2168684473478,h1_2025_annual_nci_carry_scaled_to_interim,-16.113090744907367,-2.3879601639725436,16094.48181818182,-0.0010011562302493346,6.747638,available_annual_waterfall_interim_pbt_calibrated,"Forward H1-2026 net-income bridge with annual-waterfall fallback: the formal interim income statement is an image/CID-font page in this issuer's report, so the below-operating structure (finance cost, tax, NCI) is taken from the FY2025 annual waterfall and the level is calibrated with the disclosed interim profit-before-tax / attributable anchors where available.  Operating leg from the walk-forward H1-2026 model variant.  Research bridge, not issuer guidance or a trade approval.",2026-08-10T12:04:49.671839+00:00
airline_forward_net_income_bridge,Air China,601111.SH,1H2026,walk_forward_fuel_nonfuel,-2047.902,2507.203,-2789.041,1928.119,-120.75596837741676,-3524.826,-1754.433,-1805.673,49.7736058460758,official_interim_total_revenue,annual_waterfall_fallback,-10629.360392060917,86263.53817015057,80757.43400000001,1.0681807716940408,1261.2219620572678,2127.668564561576,1642.328970656102,263.2532486354726,50.771540893369554,-7908.103111158404,908.0109882644887,h1_2025_annual_absolute_carry_scaled_to_interim,-8816.114099422894,-826.2168684473478,h1_2025_annual_nci_carry_scaled_to_interim,-7989.897230975545,-1184.1028269411527,16094.48181818182,-0.49643705968522805,6.747638,available_annual_waterfall_interim_pbt_calibrated,"Forward H1-2026 net-income bridge with annual-waterfall fallback: the formal interim income statement is an image/CID-font page in this issuer's report, so the below-operating structure (finance cost, tax, NCI) is taken from the FY2025 annual waterfall and the level is calibrated with the disclosed interim profit-before-tax / attributable anchors where available.  Operating leg from the walk-forward H1-2026 model variant.  Research bridge, not issuer guidance or a trade approval.",2026-08-10T12:04:49.671839+00:00
airline_forward_net_income_bridge,Air China,601111.SH,1H2026,walk_forward_integrated,-2047.902,2507.203,-2789.041,1928.119,-120.75596837741676,-3524.826,-1754.433,-1805.673,49.7736058460758,official_interim_total_revenue,annual_waterfall_fallback,-12437.613642649056,84455.28491956243,80757.43400000001,1.0457896039584718,1234.7842716844846,2127.668564561576,1642.328970656102,263.2532486354726,50.771540893369554,-9689.918671373758,908.0109882644887,h1_2025_annual_absolute_carry_scaled_to_interim,-10597.929659638246,-826.2168684473478,h1_2025_annual_nci_carry_scaled_to_interim,-9771.7127911909,-1448.167905745818,16094.48181818182,-0.6071467787270955,6.747638,available_annual_waterfall_interim_pbt_calibrated,"Forward H1-2026 net-income bridge with annual-waterfall fallback: the formal interim income statement is an image/CID-font page in this issuer's report, so the below-operating structure (finance cost, tax, NCI) is taken from the FY2025 annual waterfall and the level is calibrated with the disclosed interim profit-before-tax / attributable anchors where available.  Operating leg from the walk-forward H1-2026 model variant.  Research bridge, not issuer guidance or a trade approval.",2026-08-10T12:04:49.671839+00:00
airline_forward_net_income_bridge,Air China,601111.SH,1H2026,walk_forward_yield_mix,-2047.902,2507.203,-2789.041,1928.119,-120.75596837741676,-3524.826,-1754.433,-1805.673,49.7736058460758,official_interim_total_revenue,annual_waterfall_fallback,-4463.829502418419,84455.28491956243,80757.43400000001,1.0457896039584718,1234.7842716844846,2127.668564561576,1642.328970656102,263.2532486354726,50.771540893369554,-1716.134531143122,908.0109882644887,h1_2025_annual_absolute_carry_scaled_to_interim,-2624.1455194076107,-826.2168684473478,h1_2025_annual_nci_carry_scaled_to_interim,-1797.928650960263,-266.45303896863805,16094.48181818182,-0.11171087527211694,6.747638,available_annual_waterfall_interim_pbt_calibrated,"Forward H1-2026 net-income bridge with annual-waterfall fallback: the formal interim income statement is an image/CID-font page in this issuer's report, so the below-operating structure (finance cost, tax, NCI) is taken from the FY2025 annual waterfall and the level is calibrated with the disclosed interim profit-before-tax / attributable anchors where available.  Operating leg from the walk-forward H1-2026 model variant.  Research bridge, not issuer guidance or a trade approval.",2026-08-10T12:04:49.671839+00:00
airline_forward_net_income_bridge,China Eastern Airlines,600115.SH,1H2026,flat_ask,-1745.0,2213.0,-1531.0,-61.0,3.984323971260614,-1592.0,-161.0,-1431.0,10.113065326633166,official_interim_total_revenue,interim_waterfall,2361.392017342034,67984.89331444573,66822.0,1.0174028510736841,2251.512509426063,3123.0,162.0,226.0,12.0,3608.879507915971,143.78945132780814,h1_2025_effective_rate_on_forward_pbt,3465.090056588163,350.42682104943106,h1_2025_nci_share_on_forward_net_income,3114.663235538732,461.59311384794677,14845.454545454546,0.20980585175092498,6.747638,available_h1_2025_interim_waterfall,"Forward H1-2026 net-income bridge anchored on the 1H2025 interim official waterfall; operating leg from the walk-forward H1-2026 model variant.  Finance cost scaled with forecast revenue; non-operating lines carried at 1H2025 absolute; tax and NCI as labelled. Research bridge, not issuer guidance or a trade approval.",2026-08-10T12:04:49.671839+00:00
airline_forward_net_income_bridge,China Eastern Airlines,600115.SH,1H2026,flat_rpk,-1745.0,2213.0,-1531.0,-61.0,3.984323971260614,-1592.0,-161.0,-1431.0,10.113065326633166,official_interim_total_revenue,interim_waterfall,4065.979794547457,69689.48109165115,66822.0,1.0429122308768242,2307.9647669304118,3123.0,162.0,226.0,12.0,5257.015027617045,209.45650991811874,h1_2025_effective_rate_on_forward_pbt,5047.558517698926,510.4628902949291,h1_2025_nci_share_on_forward_net_income,4537.095627403997,672.3976045253164,14845.454545454546,0.30562187324827905,6.747638,available_h1_2025_interim_waterfall,"Forward H1-2026 net-income bridge anchored on the 1H2025 interim official waterfall; operating leg from the walk-forward H1-2026 model variant.  Finance cost scaled with forecast revenue; non-operating lines carried at 1H2025 absolute; tax and NCI as labelled. Research bridge, not issuer guidance or a trade approval.",2026-08-10T12:04:49.671839+00:00
airline_forward_net_income_bridge,China Eastern Airlines,600115.SH,1H2026,walk_forward_fuel_nonfuel,-1745.0,2213.0,-1531.0,-61.0,3.984323971260614,-1592.0,-161.0,-1431.0,10.113065326633166,official_interim_total_revenue,interim_waterfall,-1821.3720412200491,69689.48109165115,66822.0,1.0429122308768242,2307.9647669304118,3123.0,162.0,226.0,12.0,-630.3368081504614,-61.0,h1_2025_absolute_carry,-569.3368081504614,-161.0,h1_2025_absolute_carry,-408.33680815046137,-60.51551789684944,14845.454545454546,-0.027505847456552816,6.747638,available_h1_2025_interim_waterfall,"Forward H1-2026 net-income bridge anchored on the 1H2025 interim official waterfall; operating leg from the walk-forward H1-2026 model variant.  Finance cost scaled with forecast revenue; non-operating lines carried at 1H2025 absolute; tax and NCI as labelled. Research bridge, not issuer guidance or a trade approval.",2026-08-10T12:04:49.671839+00:00
airline_forward_net_income_bridge,China Eastern Airlines,600115.SH,1H2026,walk_forward_integrated,-1745.0,2213.0,-1531.0,-61.0,3.984323971260614,-1592.0,-161.0,-1431.0,10.113065326633166,official_interim_total_revenue,interim_waterfall,-2417.0702557524055,69093.78287711879,66822.0,1.0339975289144112,2288.236531487592,3123.0,162.0,226.0,12.0,-1206.306787239997,-61.0,h1_2025_absolute_carry,-1145.306787239997,-161.0,h1_2025_absolute_carry,-984.306787239997,-145.87427292928237,14845.454545454546,-0.06630358027948541,6.747638,available_h1_2025_interim_waterfall,"Forward H1-2026 net-income bridge anchored on the 1H2025 interim official waterfall; operating leg from the walk-forward H1-2026 model variant.  Finance cost scaled with forecast revenue; non-operating lines carried at 1H2025 absolute; tax and NCI as labelled. Research bridge, not issuer guidance or a trade approval.",2026-08-10T12:04:49.671839+00:00
airline_forward_net_income_bridge,China Eastern Airlines,600115.SH,1H2026,walk_forward_yield_mix,-1745.0,2213.0,-1531.0,-61.0,3.984323971260614,-1592.0,-161.0,-1431.0,10.113065326633166,official_interim_total_revenue,interim_waterfall,3470.2815800151,69093.78287711879,66822.0,1.0339975289144112,2288.236531487592,3123.0,162.0,226.0,12.0,4681.045048527509,186.5079999739896,h1_2025_effective_rate_on_forward_pbt,4494.5370485535195,454.5354678499476,h1_2025_nci_share_on_forward_net_income,4040.001580703572,598.7282632387173,14845.454545454546,0.2721372773284709,6.747638,available_h1_2025_interim_waterfall,"Forward H1-2026 net-income bridge anchored on the 1H2025 interim official waterfall; operating leg from the walk-forward H1-2026 model variant.  Finance cost scaled with forecast revenue; non-operating lines carried at 1H2025 absolute; tax and NCI as labelled. Research bridge, not issuer guidance or a trade approval.",2026-08-10T12:04:49.671839+00:00
airline_forward_net_income_bridge,China Southern Airlines,600029.SH,1H2026,flat_ask,-1866.0,2846.0,596.0,1428.0,239.59731543624162,-832.0,701.0,,-84.2548076923077,official_interim_total_revenue,interim_waterfall,7918.149069819687,89867.81551806002,86291.0,1.0414506207838594,2963.968466750864,1677.0,-319.0,283.0,61.0,6534.180603068822,1428.0,h1_2025_absolute_carry,5106.180603068822,701.0,h1_2025_absolute_carry,4405.180603068822,652.8477969726328,17140.0,0.257011703796314,6.747638,available_h1_2025_interim_waterfall,"Forward H1-2026 net-income bridge anchored on the 1H2025 interim official waterfall; operating leg from the walk-forward H1-2026 model variant.  Finance cost scaled with forecast revenue; non-operating lines carried at 1H2025 absolute; tax and NCI as labelled. Research bridge, not issuer guidance or a trade approval.",2026-08-10T12:04:49.671839+00:00
airline_forward_net_income_bridge,China Southern Airlines,600029.SH,1H2026,flat_rpk,-1866.0,2846.0,596.0,1428.0,239.59731543624162,-832.0,701.0,,-84.2548076923077,official_interim_total_revenue,interim_waterfall,7258.208101609533,89207.87454984986,86291.0,1.0338027667989693,2942.202674309867,1677.0,-319.0,283.0,61.0,5896.005427299666,1428.0,h1_2025_absolute_carry,4468.005427299666,701.0,h1_2025_absolute_carry,3767.005427299666,558.2702313460896,17140.0,0.21977861302798518,6.747638,available_h1_2025_interim_waterfall,"Forward H1-2026 net-income bridge anchored on the 1H2025 interim official waterfall; operating leg from the walk-forward H1-2026 model variant.  Finance cost scaled with forecast revenue; non-operating lines carried at 1H2025 absolute; tax and NCI as labelled. Research bridge, not issuer guidance or a trade approval.",2026-08-10T12:04:49.671839+00:00
airline_forward_net_income_bridge,China Southern Airlines,600029.SH,1H2026,walk_forward_fuel_nonfuel,-1866.0,2846.0,596.0,1428.0,239.59731543624162,-832.0,701.0,,-84.2548076923077,official_interim_total_revenue,interim_waterfall,1347.9508947766735,89207.87454984986,86291.0,1.0338027667989693,2942.202674309867,1677.0,-319.0,283.0,61.0,-14.251779533193258,1428.0,h1_2025_absolute_carry,-1442.2517795331933,701.0,h1_2025_absolute_carry,-2143.2517795331933,-317.6299291001078,17140.0,-0.12504386111628898,6.747638,available_h1_2025_interim_waterfall,"Forward H1-2026 net-income bridge anchored on the 1H2025 interim official waterfall; operating leg from the walk-forward H1-2026 model variant.  Finance cost scaled with forecast revenue; non-operating lines carried at 1H2025 absolute; tax and NCI as labelled. Research bridge, not issuer guidance or a trade approval.",2026-08-10T12:04:49.671839+00:00
airline_forward_net_income_bridge,China Southern Airlines,600029.SH,1H2026,walk_forward_integrated,-1866.0,2846.0,596.0,1428.0,239.59731543624162,-832.0,701.0,,-84.2548076923077,official_interim_total_revenue,interim_waterfall,3251.6580385618436,91111.58169363505,86291.0,1.0558642464872936,3004.9896455028374,1677.0,-319.0,283.0,61.0,1826.6683930590061,1428.0,h1_2025_absolute_carry,398.6683930590061,701.0,h1_2025_absolute_carry,-302.3316069409939,-44.80554631724373,17140.0,-0.01763895022992963,6.747638,available_h1_2025_interim_waterfall,"Forward H1-2026 net-income bridge anchored on the 1H2025 interim official waterfall; operating leg from the walk-forward H1-2026 model variant.  Finance cost scaled with forecast revenue; non-operating lines carried at 1H2025 absolute; tax and NCI as labelled. Research bridge, not issuer guidance or a trade approval.",2026-08-10T12:04:49.671839+00:00
airline_forward_net_income_bridge,China Southern Airlines,600029.SH,1H2026,walk_forward_yield_mix,-1866.0,2846.0,596.0,1428.0,239.59731543624162,-832.0,701.0,,-84.2548076923077,official_interim_total_revenue,interim_waterfall,9161.915245394704,91111.58169363505,86291.0,1.0558642464872936,3004.9896455028374,1677.0,-319.0,283.0,61.0,7736.925599891867,1428.0,h1_2025_absolute_carry,6308.925599891867,701.0,h1_2025_absolute_carry,5607.925599891867,831.0946141289539,17140.0,0.32718352391434463,6.747638,available_h1_2025_interim_waterfall,"Forward H1-2026 net-income bridge anchored on the 1H2025 interim official waterfall; operating leg from the walk-forward H1-2026 model variant.  Finance cost scaled with forecast revenue; non-operating lines carried at 1H2025 absolute; tax and NCI as labelled. Research bridge, not issuer guidance or a trade approval.",2026-08-10T12:04:49.671839+00:00
